Komentar,Sentimen
 Penasaran ide bisnis apa saja yang bisa hasilkan cuan walaupun terjadi resesi Untuk tahu jawabannya yuk langsung simak postingan berikut ini resesi resesiglobal ekonomi resesiekonomi ekonomiglobal UMKM KontrakHukum Legal Hukum Legalitas Idebisnis Indonesia ,Positif
 Prediksi akan terjadinya resesi ekonomi tahun sudah disampaikan oleh banyak ahli Bukan hanya negara negara besar seperti Amerika Serikat dan Eropa Indonesia juga bisa terdampak resesi ekonomi ,Positif
 Tanti Perekonomian Global Dalam Kondisi Ketidakpastian IPB University Gelar Seminar Indonesia Outlook Antisipasi Kemungkinan Resesi ,Positif
 Eks Menkeu Bilang Wajib Kena Resesi Lho Kok Gitu ,Positif
 Menteri BUMN Erick Thohir optimistis Indonesia bisa melewati resesi Menurut Indonesia harus mendorong ekspor terhadap sumber daya alam dalam bentuk produk jadi dan terus membangun optimisme perekonomian Indonesia tetap tumbuh angka BangkitBersamaET ,Positif
 Optimistis tapi Tetap Waspada Strategi Indonesia Hadapi Isu Inflasi dan Resesi Global ,Positif
 DPR Optimistis pada Indonesia Tak Akan Mengalami Resesi ,Positif
 Indef Indonesia kemungkinan terbebas dari resesi tetapi bakal mengalami perlambatan pertumbuhan ekonomi pada Tempo Bisnis ,Positif
 Industri Digital dan Pusat Data Bisa Jadi Tulang Punggung Hadapi Resesi ,Positif
 Erick Thohir Optimistis Indonesia Bisa Lewati Resesi indonesiamaju indonesiamerdeka bumnuntuknegeri bumnuntukindonesia bumnuntuknegeri bumn bumnuntukindonesia erickthohirsolusirakyat ,Positif
 Sumber Ekonomi dan Bencana Alam Mengancam Tahun Mendatang Sudah Siapkah Indonesia ,Positif
 BangkitBersamaET Rasa optimis harus dibangun dimasa gejolak ekonomi global dorong ekspor SDA dalam produk jadi Optimistis Indonesia bisa lewati resesi ,Positif
 Langkah indonesia hadapi resesi IndonesiaTanpaResesi EkonomiIndonesia ,Positif
 Ekspor perikanan Indonesia tahun ini berpotensi terkoreksi Upaya mendorong ekspor terus dilakukan untuk menghadapi kelanjutan resesi ekonomi global Ekonomi AdadiKompas ,Positif
 Erick thohir optimistis Indonesia bisa lewati resesi indonesiamaju indonesiamerdeka bumnuntuknegeri bumnuntukindonesia bumn bumnuntuknegeri bumnuntukindonesia erthoforwapres erickthohir erickthohirwapres erickthohirsolusirakyat ,Positif
 Erick Thohir optimis jika ditangani dengan benar dengan modal yang kuat Indonesia akan lolos dari ancaman resesi global BangkitBersamaET ,Positif
 Menteri BUMN Erick Thohir ungkapkan optimisitas Indonesia bisa lewati resesi BangkitBersamaET ,Positif
 Komisi DPR Nilai Indonesia Belum Alami Resesi ,Positif
 Masyarakat Indonesia semua pastinya berharap BRI dapat terus melanjutkan kinerja positifnya mengingat situasi perekonomian dunia yang masih dihantui ketidakpastian dan bayang bayang resesi KinerjaBRIQ ,Positif
 Kinerja positif BRI seolah menjadi pertanda baik tengah perekonomian dunia yang masih berupaya pulih pasca pandemi KinerjaBRIQ nSemoga dampak Resesi Indonesia tidak terlalu parah ,Positif
 Assalammualaikum yuk mau join Silahkan Daftar gratis resiko nabung emas sesuai syari InsyaAllah tahun profit panen emas Tahun depan tahun resesi Segeralah nabungemas Quantum Metal Indonesia nJoin ,Positif
 DPR Sebut Indonesia Belum Alami Resesi Ekonomi Kita Masih Tumbuh Positif ,Positif
 Hal inilah sangat menumbuhkan perekonomian rakyat untuk bangkit tengah pandemi tapi menaikkan volume transaksi dimana perputaran uang dalam transaksinya ekonomi terjadi menjadi sehat dan stabil bahkan ditengah inflasi Indonesia jauh dari jurang resesi KinerjaBRIQ ,Positif
 Harus optimis Indonesia bisa menghadapi resesi BangkitBersamaET ,Negatif
 Menteri BUMN optimis Indonesia bisa lewati resesi Erick meyakini Indonesia bisa bertahan dari gejolak ekonomi global Erick Thohir juga mendorong Ekspor SDA dalam bentuk produk jadi BangkitBersamaET ,Positif
 Anggota DPR Ini Klaim Indonesia Tak Alami Resesi Apa Alasannya ,Positif
 Menurutnya peluang tersebut juga akan mampu menjaga pertumbuhan dan stabilitas ekonomi nasional Otomatis dengan hal itu Indonesia bisa menghadapi gejolak resesi sekaligus memiliki fundamental ekonomi yang kuat lanyalla LaNyalla ,Positif
 Resesi tahun pun diprediksi akan berlangsung cukup lama dan akut jika dibandingkan resesi dan nNamun Ketua DPD LaNyalla Mahmud Mattalitti menilai ancaman resesi merupakan tantangan sekaligus peluang besar bagi Indonesia LaNyalla ,Positif
 Ketua DPD Nilai Resesi Dunia Bisa Jadi Peluang bagi Indonesia nSURABAYA Dunia disebut sedang menuju ketidakpastian ekonomi global Ancaman yang muncul adalah resesi tingginya inflasi pelambatan bahkan pelemahan ekonomi lanyalla LaNyalla ,Positif
 Apakah perekonomian Indonesia bisa bertahan dari resesi global kalo gelombang PHK aja makin banyak ,Positif
 optimis Indonesia nisa melewati resesi BangkitBersamaET ,Positif
 Ekonomi Indonesia Tahun diperkirakan tidak akan mengalami resesi ,Negatif
 Dengan terus mendorong ekspor SDA dalam bentuk jadi optimis Indonesia bisa lewati resesi BangkitBersamaET ,Positif
 Politisi Golkar Bilang Indonesia Belum Resesi Maraknya PHK Imbas daripada Pelemahan Ekonomi dan Eropa IndonesiaBelumResesi PHK PolitisiGolkar ,Positif
 Menteri BUMN mengatakan Indonesia harus agresif melawan resesi yang diprediksi terjadi tahun depan saat ini pemerintah memprioritaskan mengatasi ketergantungan terhadap rantai pasokan pangan energi dunia yaitu dengan swasembada pangan energi BangkitBersamaET ,Positif
 Banyak baca dan belajar ekonomi Pak klo mau tau indikasi resesi global pasti akan berdampak Indonesia Layoff karyawan Goto Shoppee buruh pabrik sudah mulai dikurangi jam kerjanya krisis energi Eropa zero covid policy China fed rate naik balik ,Positif
 Indonesia Belum Alami Resesi ,Positif
 Menteri Badan Usaha Milik Negara BUMN Erick Thohir optimis Indonesia bisa lewati Resesi dan ekonomi Nasional akan tumbuh angka Persen dengan mendorong ekspor SDA dalam bentuk produk jadi BangkitBersamaET ,Positif
 Tak sedikit negara mewaspadai terjadinya resesi dlm skala besar diperkirakan terjadi Namun Erick Thohir tetap optimis ekonomi Indonesia bisa bertahan kuat menghadapi guncangan ekonomi global Bahkan yakin ekonomi nasional tetap tumbuh angka BangkitBersamaET ,Negatif
 Optimis Indonesia bisa hadapi resesi Bismillah indonesia kuat ,Positif
 Ada Ancaman Resesi Global East Ventures Yakin Ekonomi Digital Indonesia Tetap Positif ,Positif
 Menteri BUMN optimis Indonesia bisa melewati resesi nSumber daya alam Indonesia bisa didorong ekspor dalam bentuk produk olahan atau jadi BangkitBersamaET ,Positif
 Semoga Berkaca Pada Pandemi Indonesia Dinilai Mampu Hadapi Ancaman Resesi ,Positif
 Menteri BUMN Erick Thohir nOptimis Indonesia bisa Lewati Resesi Dan sangat yakin Indonesia bisa bertahan dari gejolak ekonomi global nPastii Bisaa BangkitBersamaET ,Positif
 Bayang resesi global menghantui seluruh negara dunia tak terkecuali Indonesia nNamun terus menanamkan optimisme Indonesia pasti bisa melewatinya SDA dan SDM Indonesia melimpah Ekspor SDA dlm bentuk jadi akan meningkatkan nilai tambah BangkitBersamaET ,Positif
 kita semua pasti berharap bangeett BRI dapat terus melanjutkan kinerja positifnya mengingat Indonesia bakalan resesi nih KinerjaBRIQ ,Positif
 Erick Thohir Optimistis Indonesia Bisa Lewati Resesi nMenteri BUMN yakin Indonesia bisa bertahan dari gejolak ekonomi global Beliau mendorong ekspor SDA dalam bentuk produk jadi bukan mentah Yuk Indonesia bisa yuk BangkitBersamaET ,Positif
 Sebenarnya Indonesia sudah relatif aman dari resesi global namun tetap harus diwaspadai nAmannya Indonesia dari resesi global karena kuatnya konsumsi rumah tangga domestik TrenAsia UMP Gaji Inflasi Resesi ,Positif
 Naiknya UMP tahun depan dianggap akan menahan Indonesia dari resesi global TrenAsia UMP Gaji Inflasi Resesi ,Positif
 Klean pasti tahu kan perekominian Indonesia sedang tidak baik baik saja nBahkan kabarnya sedikit lagi kita akan menghadap resesi KinerjaBRIQ ,Negatif
 Indonesia aman hadapi ancaman resesi ekonomi global Ketum Apindo Pemerintah tidur saja ekonomi tumbuh lima persen ,Positif
 Indonesia bisa melewati resesi tahun demikian keyakinan dari Menteri BUMN yang tetap optimis dengan pertumbuhan ekonomi Indonesia dengan mendorong ekspor SDA dalam bentuk produk jadi BangkitBersamaET ,Positif
 Ditengah kondisi perekonomian dunia yang penuh dengan tantangan apalagi mengingat isu tentang resesi Bank Rakyat Indonesia Persero Tbk mampu menjaga fundamental kinerja keuangan dengan tetap fokus pada core business segmen UMKM KinerjaBRIQ ,Positif
 Ditengah kondisi perekonomian dunia yang penuh dengan tantangan apalagi mengingat isu tentang resesi Bank Rakyat Indonesia Persero Tbk mampu menjaga fundamental kinerja keuangan dengan tetap fokus pada core business segmen UMKM ,Positif
 Optimis Indonesia bisa lewati resesi Menteri BUMN meyakini Indonesia bisa bertahan dari gejolak ekonomi global Dengan mendorong ekspor SDA dalam bentuk produk jadi BangkitBersamaET ,Negatif
 Menteri BUMN Erick Thohir yakin ekonomi Indonesia akan terus tumbuh meski situasi global penuh gejolak dan tantangan serta optimis Indonesia tetap tangguh bisa melewati resesi BangkitBersamaET ,Positif
 tengah gempuran berita resesi ekonomi Bank Rakyat Indonesia Persero Tbk mampu menjaga fundamental kinerja keuangan yang positif KinerjaBRIQ ,Positif
 Berkaca Pada Pandemi Indonesia Dinilai Mampu Hadapi Ancaman Resesi ,Positif
 optimis INDONESIA bisa melewati resesi dan bertahan dari gejolak ekonomi global serta mampu mendorong ekspor SDA dalam bentuk produk jadi nOptimisme tetap harus dibangun meyakini ekonomi nasional tetap akan tumbuh angka BangkitBersamaET ,Positif
 Menteri BUMN Erick Thohir optimis Indonesia bisa lewati resesi nOptimisme ini tetap harus kita bangun kita dorong ekspor SDA dalam bentuk jadi dgn demikian saya yakin ekonomi nasional akan tetap tumbuh ucap Erick Thohir nYes Indonesia pasti bisa BangkitBersamaET ,Positif
 Menteri BUMN optimistis Indonesia bisa lewati Resesi BangkitBersamaET ,Positif
 Karna UMKM merupakan tulang punggung perekonomian Indonesia maka untuk siap menghadapi resesi harus bisa ditingkatkan nArsjad Rasjid umkm inklusifkolaboratif ,Positif
 OJK Resesi Dialami Negara Maju Bukan Indonesia ,Positif
 Menteri BUMN Erick Thohir optimis Indonesia bisa lewati resesi BangkitBersamaET ,Positif
 Jokowi yakin bahwa Indonesia dengan SDM dan SDA berlimpah mampu melewati resesi global mendatang BangunOptimisme Indonesia Bisa ,Positif
 Jokowi yakin indonesia memiliki ekonomi yang tangguh dan mampu melewati resesi global BangunOptimisme Indonesia Bisa ,Positif
 Pak jokowi optimis indonesia mampu melewati resesi global yang akan datang BangunOptimisme Indonesia Bisa ,Positif
 Pak Jokowi memberikan pengarahan kepada masyarakat Indonesia agar mampu melewati bayang resesi dengan SDM dan SDA yang baik BangunOptimisme nIndonesia Bisa ,Positif
 Indonesia Bisa dengan SDM yang melimpah menghadapi resesi BangunOptimisme ,Positif
 kondisi Perekonomian global membuat pak Jokowi semakin optimis Indonesia mampu melewati bayangan resesi yang akan datang BangunOptimisme Indonesia Bisa ,Positif
 Indonesia Bisa menghadapi resesi Ayo BangunOptimisme ,Positif
 Ditengah gempuran resesi dimana mana Indonesia seharusnya mampu melewatinya karena kita memiliki SDA yang melimpah BangunOptimisme nIndonesia Bisa ,Positif
 Optimis dan yakin yang disampaikan Pak Jokowi jika kita mampu melewati bayangan resesi karena Indonesia kaya akanSDA BangunOptimisme Indonesia Bisa ,Positif
 Tetap optimis hadapi perekonomian global Ditengah gempuran inflasi mimpi buruk resesi aku percaya kita pasti bisa xaa BangunOptimisme nIndonesia Bisa ,Positif
 UMKM akan mampu selamatkan Indonesia dari Resesi JokowiPresidenku PembangunanUntukRakyat PresidenJokowiHebat JokowiMembangunNegeri JokowiMajuBersamaIndonesia JokowiBapakInfrastruktur ,Positif
 jangan takut akan resesi karena kita bisa menghadapi dengan adanya SDM SDA BangunOptimisme nIndonesia Bisa ,Positif
 Resesi ekonomi global yang akan terjadi membuat pak Jokowi optimis jika Indonesia mampu melewati bayangan resesi dengan kelimpahan alam Indonesia BangunOptimisme Indonesia Bisa ,Positif
 Letak Geografis Indonesia berada pada jalur perdagangan dunia Hal ini harus membuat Indonesia optimis menghadapi resesi BangunOptimisme nIndonesia Bisa ,Negatif
 Pak Jokowi mengatakan bahwa Indonesia pasti bisa melewati bayangan resesi karena memiliki bekal SDA yang cukup banyak BangunOptimisme nIndonesia Bisa ,Positif
 Penuturan Pak Jokowi untuk menghadapi resesi Indonesia harus optimis karena tanah air mempunyai SDA yang melimpah BangunOptimisme Indonesia Bisa ,Positif
 Hadapi resesi dengan SDM yang unggul dan mampu bersaing BangunOptimisme nIndonesia Bisa ,Positif
 Bayangan mengerikan tentang resesi membuat banyak orang jadi khawatir Pemerintah Indonesia optimis bisa melewati semua dengan baik Percaya bahwa Indonesia bisa BangunOptimisme nIndonesia Bisa ,Positif
 Bayangan resesi ekonomi sudah depan mata namun Pak Jokowi mengatakan Indonesia mampu melewatinya karena sudah memiliki bekal SDA yang melimpah BangunOptimisme Indonesia Bisa ,Positif
 Indonesia mampu melewati bayangan resesi karena sudah memiliki bekal SDA yang melimpah BangunOptimisme Indonesia Bisa ,Positif
 Potensi dan kekuatan besar yang berupa SDA dan SDM yang melimpah ruah yang dimiliki Indonesia harus menjadi dasar optimisme menghadapi resesi BangunOptimisme Indonesia Bisa ,Positif
 Perekonomian global yang mengalami gejolak membuat Pak Jokowi optimis Indonesia mampu melewati resesi dengan berbekal SDA dan SDM yang dimiliki Bisa ,Positif
 Kita harus tetap optimis menghadapi resesi tahun Selain SDA dan SDM melimpah Kita berada jalur perdagangan dunia BangunOptimisme nIndonesia Bisa ,Positif
 Indonesia harus optimis mampu melewati bayangan resesi karena sudah memiliki bekal SDA yang melimpah BangunOptimisme nIndonesia Bisa ,Positif
 Perekonomian global yang menghantui dunia membuat Jokowi optimis bisa melewati resesi tahun karena kita punya SDA dan SDM yang melimpah BangunOptimisme nIndonesia Bisa ,Positif
 Indonesia bisa survive era perekonomian pada taun depan banyak negara mengalami resesi BangunOptimisme ,Positif
 Pak Jokowi optimis Indonesia mampu menghadapi resesi karena SDA dan SDM Indonesia berlimpah BangunOptimisme nIndonesia Bisa ,Positif
 kita harus percaya diri dalam melewati resesi karna kita punya alasan untuk menghadapi perekonomian global BangunOptimisme nIndonesia Bisa ,Positif
 Banyak negara bergantung pada Indonesia membuat Indonesia mempunyai peran penting dalam ekonomi global Karena inilah Pak Jokowi optimis Indonesia mampu menghadapi tantangan resesi BangunOptimisme nIndonesia Bisa ,Positif
 Tetap optimis terhadap perekonomian global Indonesia kaya akan SDM dan SDA kita bisa melewati resesi BangunOptimisme nIndonesia Bisa ,Positif
 mari bersama sama pak jokowi kita terus bersatu untuk menghadapi resesi tahun yang akan datang BangunOptimisme nIndonesia Bisa ,Positif
 Presiden Jokowi mengungkapkan bahwa Indonesia mampu melewati bayangan resesi karena SDA dan SDM Indonesia melimpah BangunOptimisme nIndonesia Bisa ,Positif
 Indonesia dibayang bayangi resesi tapi harus tetap optimis BangunOptimisme nIndonesia Bisa ,Positif
 Pak Jokowi sendiri sudah mengatakan Indonesia mampu melewati bayangan resesi karena Indonesia sudah memiliki bekal SDA yang melimpah ruah BangunOptimisme Indonesia Bisa ,Positif
 pak jokowi optimis mengahadapi bayangan resesi yang akan terjadi BangunOptimisme nIndonesia Bisa ,Negatif
 Perekonomian global yang saat ini terjadi telah menghantui dunia namun itu membuat pak Jokowi semakin optimis Indonesia dapat dan mampu melewati bayangan resesi dengan SDM dan SDA kita yang melimpah ruah BangunOptimisme Indonesia Bisa ,Negatif
 meskipun ada kemungkinan Indonesia diterjang resesi kita harus tetap optimis BangunOptimisme nIndonesia Bisa ,Positif
 Pak Jokowi mengatakan indonesia untuk tidak terlalu cemas akan adanya resesi karena mempunyai SDA dan SDM melimpah BangunOptimisme nIndonesia Bisa ,Negatif
 Indonesi memiliki bekal SDA melimpah maka dari itu pak Jokowi yakin Indonesia mempu melewati bayangan resesi BangunOptimisme nIndonesia Bisa ,Negatif
 Resesi tidak mematikan perekonomian harus optimis Kita punya SDM tangguh dan SDA yang melimpah BangunOptimisme nIndonesia Bisa ,Positif
 tengah Kekhawatiran dan Resesi Dunia membangun Optimisme Agar bisa menghadapi Perekonomian Global tahun dan Yakin Indonesia bisa menjadi Pemain Global sesungguhnya nIndonesia Bisa BangunOptimisme ,Positif
 Presiden Jokowi memiliki jurus jitu untuk menghadapi Resesi tahun nIndonesia Bisa BangunOptimisme ,Positif
 Perekonomian global yang mengantui dunia membuat pak Jokowi semakin optimis Indonesia mampu melewati bayangan resesi dengan SDM dan SDA kita yang melimpah BangunOptimisme Indonesia Bisa ,Positif
 Indonesia Bisa hadapi resesi global karena ada faktor besar yaitu SDA dan SDM itu kata BangunOptimisme ,Positif
 hilirisasi SDA serta penghentian ekspor bahan mentah yang dilakukan oleh pak Jokowi merupakan tindakan yang tepat sebagai antisipasi issue resesi tahun mendatang nIndonesia Bisa BangunOptimisme ,Positif
 masalah datang silih berganti mulai dari konflik rusia hingga resesi namun pak Jokowi tetap menyuarakan optimisannya dalam menghapi situasi tsb kepada semua pihak Bisa BangunOptimisme ,Positif
 bawah pimpinan presiden Jokowi perekonomian Indonesia memiliki ketahanan yang kuat dalam menghadapi resesi global pada nIndonesia Bisa BangunOptimisme ,Positif
 Tak bosan bosan entah sudah kali berapa pak Jokowi kembali gaungkan optimisme nya hadapi situasi global mendatang yang dibayang bayangi resesi Bisa BangunOptimisme ,Positif
 Sumber daya manusia dan sumber daya alam melimpah bisa jadi penopang Indonesia aman dari resesi global nIndonesia Bisa BangunOptimisme ,Negatif
 Dengan sumber daya alam melimpah dan potensial maka kita optimis Indonesia akan aman dari resesi global nIndonesia Bisa BangunOptimisme ,Positif
 Presiden Jokowi sangat peka dan peduli dengan penguatan anak anak muda potensial sehingga membantu menopang pertahanan ekonomi Indonesia tengah resesi global nIndonesia Bisa BangunOptimisme ,Positif
 Pak Jokowi mengatakan Indonesia mampu melewati bayangan resesi karena sudah memiliki bekal SDA yang melimpah BangunOptimisme Indonesia Bisa ,Positif
 Kita yakin resesi dunia ini tidak banyak menyentuh Asia Tenggara termasuk Indonesia Memang kita khawatir tapi kita memiliki kesempatan dalam kekhawatiran ini jangan semua pesimistis nIndonesia Bisa BangunOptimisme ,Positif
 Semoga Indonesia benar benar bisa menghadapi perekonomian global dan tidak terjadi resesi nIndonesia Bisa BangunOptimisme ,Positif
 Melihat Indonesia letak geografisnya berada jalur perdagangan dunia maka aman dari resesi global nIndonesia Bisa BangunOptimisme ,Negatif
 Lokasi geografis strategis akan menguntungkan bagi Indonesia dari ancaman resesi global nIndonesia Bisa BangunOptimisme ,Positif
 barang mentah yang ada perut bumi Indonesia itu bisa menyelamatkan Indonesia dari resesi makanya hindari larangan pak Jokowi dalam menjual barang mentah nIndonesia Bisa BangunOptimisme ,Positif
 Kebijakan hilirisasi nikel dan stop ekspor bahan mentah ini membantu Indonesia dalam menyiapkan diri melawan resesi BangunOptimisme Indonesia Bisa ,Positif
 Situasi resesi memang sangat ditakuti oleh semua negara tapi semoga Indonesia bisa menghadapinya nIndonesia Bisa BangunOptimisme ,Positif
 Berdasarkan proyeksi dari World Bank perekonomian Indonesia masih berpotensi tumbuh pada kisaran persen pada maka Indonesia memiliki peluang yang lebih baik lagi tengah terjadinya resesi global nIndonesia Bisa BangunOptimisme ,Positif
 Dengan sumber daya alam dan manusia melimpah maka potensi Indonesia untuk selamat dari resesi pada sangat terbuka lebar nIndonesia Bisa BangunOptimisme ,Positif
 Kita yakin bawah kepemimpinan presiden Jokowi Indonesia tidak terjatuh dalam jurang resesi global pada tahun nIndonesia Bisa BangunOptimisme ,Positif
 Kita punya bnyak SDA kaya dan SDM luar biasa dalam hadapi resesi global hantui setiap negara nIndonesia Bisa BangunOptimisme ,Positif
 Indonesia Bisa hadapi resesi global tahun depan BangunOptimisme ,Negatif
 Indonesia memang memiliki modal kuat untuk optimis menghadapo resesi menimbang banyak negara yang bergantung Indonesia contohnya ekspor batu bara BangunOptimisme Indonesia Bisa ,Positif
 Ayo yakin Indonesia Kita pasti bisa menghadapi berbagai resesi global kedepannya BangunOptimisme Indonesia Bisa ,Positif
 Tak kenal lelah dan tak kenal letih Pak Jokowi selalu gaungkan semangat BangunOptimisme untuk menghadapi dinamika global apalagi tahun diramalkan akan terjadi resesi nIndonesia Bisa karena Indonesia punya SDA dan SDM melimpah ruah dan dimanfaatkan sebaik nya ,Positif
 SDA dan SDM menjadi sumber kekuatan utama dibalik kesiapan Indonesia menghadapi resesi nIndonesia Bisa BangunOptimisme ,Positif
 Sumber daya alam melimpah bonus demografi unggul dan letak geografis unggul membuat Indonesia aman dari resesi global nIndonesia Bisa BangunOptimisme ,Positif
 Bersama pak Jokowi dan strategi jitu beliau Indonesia siap hadapi resesi nIndonesia Bisa BangunOptimisme ,Negatif
 Tak takut hadapi resesi dibawah kepemimpinan pak Jokowi Indonesia pasti bisa hadapi situasi krisis tsb nIndonesia Bisa BangunOptimisme ,Positif
