Komentar,Sentimen
"['terjemah', 'orang', 'kaya', 'kena', 'dampak', 'negatif', 'global', 'orang', 'tengah', 'hidup', 'susah']",Positif
"['hadap', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['langkah', 'hadap', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['marak', 'phk', 'imbas', 'lemah', 'eropa', 'airlangga', 'hartarto', 'airlangga', 'satu', 'airlangga', 'partai', 'golkar', 'golkar', 'dia', 'golkar', 'solid', 'airlangga', 'presiden']",Positif
"['langkah', 'hadap', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['eropa', 'ancam', 'kena', 'dampak']",Positif
"['survive', 'hadap', 'usaha', 'fmcg', 'butuh', 'modal']",Negatif
"['langkah', 'hadap', 'fokus', 'perintah', 'hadap', 'tingkat', 'nilai', 'ekspor', 'investasi', 'reformasi', 'struktural', 'jaga', 'produksi', 'rumah', 'tangga', 'dampak', 'pdb', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['langkah', 'hadap', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['langkah', 'hadap', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['buka', 'buka', 'usaha', 'industri', 'fmcg', 'hadap', 'ancam']",Positif
"['penasaran', 'ide', 'bisnis', 'hasil', 'cuan', 'jawab', 'yuk', 'langsung', 'simak', 'postingan', 'resesiglobal', 'resesiekonomi', 'ekonomiglobal', 'umkm', 'kontrakhukum', 'legal', 'hukum', 'legalitas', 'idebisnis']",Positif
"['prediksi', 'ahli', 'negara', 'negara', 'amerika', 'serikat', 'eropa', 'dampak']",Positif
"['tanti', 'ekonomi', 'global', 'kondisi', 'ketidakpastian', 'ipb', 'university', 'gelar', 'seminar', 'outlook', 'antisipasi']",Positif
"['eks', 'menkeu', 'wajib', 'kena', 'lho', 'gitu']",Positif
"['menteri', 'bumn', 'erick', 'thohir', 'optimistis', 'lewat', 'dorong', 'ekspor', 'sumber', 'daya', 'alam', 'bentuk', 'produk', 'bangun', 'optimisme', 'ekonomi', 'tumbuh', 'angka', 'bangkitbersamaet']",Positif
"['optimistis', 'waspada', 'strategi', 'hadap', 'isu', 'inflasi', 'global']",Positif
"['dpr', 'optimistis', 'alami']",Positif
"['indef', 'bebas', 'alami', 'lambat', 'tumbuh', 'tempo', 'bisnis']",Positif
"['industri', 'digital', 'pusat', 'data', 'tulang', 'punggung', 'hadap']",Positif
"['erick', 'thohir', 'optimistis', 'lewat', 'indonesiamaju', 'indonesiamerdeka', 'bumnuntuknegeri', 'bumnuntukindonesia', 'bumnuntuknegeri', 'bumn', 'bumnuntukindonesia', 'erickthohirsolusirakyat']",Positif
"['sumber', 'bencana', 'alam', 'ancam', 'siap']",Positif
"['bangkitbersamaet', 'optimis', 'bangun', 'masa', 'gejolak', 'global', 'dorong', 'ekspor', 'sda', 'produk', 'optimistis', 'lewat']",Positif
"['langkah', 'hadap', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['ekspor', 'ikan', 'potensi', 'koreksi', 'upaya', 'dorong', 'ekspor', 'hadap', 'lanjut', 'global', 'adadikompas']",Positif
"['erick', 'thohir', 'optimistis', 'lewat', 'indonesiamaju', 'indonesiamerdeka', 'bumnuntuknegeri', 'bumnuntukindonesia', 'bumn', 'bumnuntuknegeri', 'bumnuntukindonesia', 'erthoforwapres', 'erickthohir', 'erickthohirwapres', 'erickthohirsolusirakyat']",Positif
"['erick', 'thohir', 'optimis', 'tangan', 'modal', 'kuat', 'lolos', 'ancam', 'global', 'bangkitbersamaet']",Positif
"['menteri', 'bumn', 'erick', 'thohir', 'ungkap', 'optimisitas', 'lewat', 'bangkitbersamaet']",Positif
"['komisi', 'dpr', 'nilai', 'alami']",Positif
"['masyarakat', 'pasti', 'harap', 'bri', 'lanjut', 'kerja', 'positif', 'situasi', 'ekonomi', 'dunia', 'hantu', 'ketidakpastian', 'bayang', 'bayang', 'kinerjabriq']",Positif
"['kerja', 'positif', 'bri', 'tanda', 'ekonomi', 'dunia', 'upaya', 'pulih', 'pasca', 'pandemi', 'kinerjabriq', 'nsemoga', 'dampak', 'parah']",Positif
"['assalammualaikum', 'yuk', 'join', 'silah', 'daftar', 'gratis', 'resiko', 'nabung', 'emas', 'sesuai', 'syar', 'insyaallah', 'profit', 'panen', 'emas', 'segera', 'nabungemas', 'quantum', 'metal', 'njoin']",Positif
"['dpr', 'alami', 'tumbuh', 'positif']",Positif
"['tumbuh', 'ekonomi', 'rakyat', 'bangkit', 'pandemi', 'naik', 'volume', 'transaksi', 'mana', 'putar', 'uang', 'transaksi', 'sehat', 'stabil', 'tengah', 'inflasi', 'jurang', 'kinerjabriq']",Positif
"['optimis', 'hadap', 'bangkitbersamaet']",Negatif
"['menteri', 'bumn', 'optimis', 'lewat', 'erick', 'tahan', 'gejolak', 'global', 'erick', 'thohir', 'dorong', 'ekspor', 'sda', 'bentuk', 'produk', 'bangkitbersamaet']",Positif
"['anggota', 'dpr', 'klaim', 'alami', 'alas']",Positif
"['turut', 'peluang', 'jaga', 'tumbuh', 'stabilitas', 'nasional', 'otomatis', 'hadap', 'gejolak', 'milik', 'fundamental', 'kuat', 'lanyalla', 'lanyalla']",Positif
"['prediksi', 'akut', 'banding', 'nnamun', 'ketua', 'dpd', 'lanyalla', 'mahmud', 'mattalitti', 'nilai', 'ancam', 'tantang', 'peluang', 'lanyalla']",Positif
"['ketua', 'dpd', 'nilai', 'dunia', 'peluang', 'nsurabaya', 'dunia', 'ketidakpastian', 'global', 'ancam', 'muncul', 'tinggi', 'inflasi', 'lambat', 'lemah', 'lanyalla', 'lanyalla']",Positif
"['ekonomi', 'tahan', 'global', 'gelombang', 'phk']",Positif
"['optimis', 'nisa', 'lewat', 'bangkitbersamaet']",Positif
['alami'],Negatif
"['dorong', 'ekspor', 'sda', 'bentuk', 'optimis', 'lewat', 'bangkitbersamaet']",Positif
"['politis', 'golkar', 'marak', 'phk', 'imbas', 'lemah', 'eropa', 'indonesiabelumresesi', 'phk', 'politisigolkar']",Positif
"['menteri', 'bumn', 'agresif', 'lawan', 'prediksi', 'perintah', 'prioritas', 'atas', 'gantung', 'rantai', 'pasok', 'pangan', 'energi', 'dunia', 'swasembada', 'pangan', 'energi', 'bangkitbersamaet']",Positif
"['baca', 'ajar', 'indikasi', 'global', 'dampak', 'layoff', 'karyawan', 'goto', 'shoppee', 'buruh', 'pabrik', 'rang', 'jam', 'kerja', 'krisis', 'energi', 'eropa', 'zero', 'covid', 'policy', 'china', 'fed', 'rate']",Positif
['alami'],Positif
"['menteri', 'badan', 'usaha', 'milik', 'negara', 'bumn', 'erick', 'thohir', 'optimis', 'lewat', 'nasional', 'tumbuh', 'angka', 'persen', 'dorong', 'ekspor', 'sda', 'bentuk', 'produk', 'bangkitbersamaet']",Positif
"['negara', 'waspada', 'dlm', 'skala', 'erick', 'thohir', 'optimis', 'tahan', 'kuat', 'hadap', 'guncang', 'global', 'nasional', 'tumbuh', 'angka', 'bangkitbersamaet']",Negatif
"['optimis', 'hadap', 'bismillah', 'kuat']",Positif
"['ancam', 'global', 'east', 'ventures', 'digital', 'positif']",Positif
"['menteri', 'bumn', 'optimis', 'lewat', 'nsumber', 'daya', 'alam', 'dorong', 'ekspor', 'bentuk', 'produk', 'olah', 'bangkitbersamaet']",Positif
"['moga', 'kaca', 'pandemi', 'nilai', 'hadap', 'ancam']",Positif
"['menteri', 'bumn', 'erick', 'thohir', 'noptimis', 'lewat', 'tahan', 'gejolak', 'global', 'npastii', 'bisaa', 'bangkitbersamaet']",Positif
"['bayang', 'global', 'hantu', 'negara', 'dunia', 'kecuali', 'nnamun', 'tanam', 'optimisme', 'lewat', 'sda', 'sdm', 'limpah', 'ekspor', 'sda', 'dlm', 'bentuk', 'tingkat', 'nilai', 'bangkitbersamaet']",Positif
"['harap', 'bangeett', 'bri', 'lanjut', 'kerja', 'positif', 'kinerjabriq']",Positif
"['erick', 'thohir', 'optimistis', 'lewat', 'nmenteri', 'bumn', 'tahan', 'gejolak', 'global', 'beliau', 'dorong', 'ekspor', 'sda', 'bentuk', 'produk', 'mentah', 'yuk', 'yuk', 'bangkitbersamaet']",Positif
"['relatif', 'aman', 'global', 'waspada', 'namannya', 'global', 'kuat', 'konsumsi', 'rumah', 'tangga', 'domestik', 'trenasia', 'ump', 'gaji', 'inflasi']",Positif
"['naik', 'ump', 'anggap', 'tahan', 'global', 'trenasia', 'ump', 'gaji', 'inflasi']",Positif
"['klean', 'perekominian', 'nbahkan', 'kabar', 'hadap', 'kinerjabriq']",Negatif
"['aman', 'hadap', 'ancam', 'global', 'tum', 'apindo', 'perintah', 'tidur', 'tumbuh', 'persen']",Positif
"['lewat', 'yakin', 'menteri', 'bumn', 'optimis', 'tumbuh', 'dorong', 'ekspor', 'sda', 'bentuk', 'produk', 'bangkitbersamaet']",Positif
"['tengah', 'kondisi', 'ekonomi', 'dunia', 'penuh', 'tantang', 'isu', 'bank', 'rakyat', 'persero', 'tbk', 'jaga', 'fundamental', 'kerja', 'uang', 'fokus', 'core', 'business', 'segmen', 'umkm', 'kinerjabriq']",Positif
"['tengah', 'kondisi', 'ekonomi', 'dunia', 'penuh', 'tantang', 'isu', 'bank', 'rakyat', 'persero', 'tbk', 'jaga', 'fundamental', 'kerja', 'uang', 'fokus', 'core', 'business', 'segmen', 'umkm']",Positif
"['optimis', 'lewat', 'menteri', 'bumn', 'tahan', 'gejolak', 'global', 'dorong', 'ekspor', 'sda', 'bentuk', 'produk', 'bangkitbersamaet']",Negatif
"['menteri', 'bumn', 'erick', 'thohir', 'tumbuh', 'situasi', 'global', 'penuh', 'gejolak', 'tantang', 'optimis', 'tangguh', 'lewat', 'bangkitbersamaet']",Positif
"['gempur', 'berita', 'bank', 'rakyat', 'persero', 'tbk', 'jaga', 'fundamental', 'kerja', 'uang', 'positif', 'kinerjabriq']",Positif
"['kaca', 'pandemi', 'nilai', 'hadap', 'ancam']",Positif
"['optimis', 'lewat', 'tahan', 'gejolak', 'global', 'dorong', 'ekspor', 'sda', 'bentuk', 'produk', 'noptimisme', 'bangun', 'nasional', 'tumbuh', 'angka', 'bangkitbersamaet']",Positif
"['menteri', 'bumn', 'erick', 'thohir', 'optimis', 'lewat', 'noptimisme', 'bangun', 'dorong', 'ekspor', 'sda', 'bentuk', 'nasional', 'tumbuh', 'erick', 'thohir', 'nyes', 'bangkitbersamaet']",Positif
"['menteri', 'bumn', 'optimistis', 'lewat', 'bangkitbersamaet']",Positif
"['karna', 'umkm', 'tulang', 'punggung', 'ekonomi', 'hadap', 'tingkat', 'narsjad', 'rasjid', 'umkm', 'inklusifkolaboratif']",Positif
"['ojk', 'alami', 'negara', 'maju']",Positif
"['menteri', 'bumn', 'erick', 'thohir', 'optimis', 'lewat', 'bangkitbersamaet']",Positif
"['jokowi', 'sdm', 'sda', 'limpah', 'lewat', 'global', 'bangunoptimisme']",Positif
"['jokowi', 'milik', 'tangguh', 'lewat', 'global', 'bangunoptimisme']",Positif
"['jokowi', 'optimis', 'lewat', 'global', 'bangunoptimisme']",Positif
"['jokowi', 'arah', 'masyarakat', 'lewat', 'bayang', 'sdm', 'sda', 'bangunoptimisme', 'nindonesia']",Positif
"['sdm', 'limpah', 'hadap', 'bangunoptimisme']",Positif
"['kondisi', 'ekonomi', 'global', 'jokowi', 'optimis', 'lewat', 'bayang', 'bangunoptimisme']",Positif
"['hadap', 'ayo', 'bangunoptimisme']",Positif
"['tengah', 'gempur', 'mana', 'lewat', 'milik', 'sda', 'limpah', 'bangunoptimisme', 'nindonesia']",Positif
"['optimis', 'jokowi', 'lewat', 'bayang', 'kaya', 'akansda', 'bangunoptimisme']",Positif
"['optimis', 'hadap', 'ekonomi', 'global', 'tengah', 'gempur', 'inflasi', 'mimpi', 'buruk', 'percaya', 'xaa', 'bangunoptimisme', 'nindonesia']",Positif
"['umkm', 'selamat', 'jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'jokowimajubersamaindonesia', 'jokowibapakinfrastruktur']",Positif
"['takut', 'hadap', 'sdm', 'sda', 'bangunoptimisme', 'nindonesia']",Positif
"['global', 'jokowi', 'optimis', 'lewat', 'bayang', 'limpah', 'alam', 'bangunoptimisme']",Positif
"['letak', 'geografis', 'jalur', 'dagang', 'dunia', 'optimis', 'hadap', 'bangunoptimisme', 'nindonesia']",Negatif
"['jokowi', 'lewat', 'bayang', 'milik', 'bekal', 'sda', 'bangunoptimisme', 'nindonesia']",Positif
"['tutur', 'jokowi', 'hadap', 'optimis', 'tanah', 'air', 'sda', 'limpah', 'bangunoptimisme']",Positif
"['hadap', 'sdm', 'unggul', 'saing', 'bangunoptimisme', 'nindonesia']",Positif
"['bayang', 'keri', 'orang', 'khawatir', 'perintah', 'optimis', 'lewat', 'percaya', 'bangunoptimisme', 'nindonesia']",Positif
"['bayang', 'mata', 'jokowi', 'lewat', 'milik', 'bekal', 'sda', 'limpah', 'bangunoptimisme']",Positif
"['lewat', 'bayang', 'milik', 'bekal', 'sda', 'limpah', 'bangunoptimisme']",Positif
"['potensi', 'kuat', 'sda', 'sdm', 'limpah', 'ruah', 'milik', 'dasar', 'optimisme', 'hadap', 'bangunoptimisme']",Positif
"['ekonomi', 'global', 'alami', 'gejolak', 'jokowi', 'optimis', 'lewat', 'bekal', 'sda', 'sdm', 'milik']",Positif
"['optimis', 'hadap', 'sda', 'sdm', 'limpah', 'jalur', 'dagang', 'dunia', 'bangunoptimisme', 'nindonesia']",Positif
"['optimis', 'lewat', 'bayang', 'milik', 'bekal', 'sda', 'limpah', 'bangunoptimisme', 'nindonesia']",Positif
"['ekonomi', 'global', 'hantu', 'dunia', 'jokowi', 'optimis', 'lewat', 'sda', 'sdm', 'limpah', 'bangunoptimisme', 'nindonesia']",Positif
"['survive', 'era', 'ekonomi', 'taun', 'negara', 'alami', 'bangunoptimisme']",Positif
"['jokowi', 'optimis', 'hadap', 'sda', 'sdm', 'limpah', 'bangunoptimisme', 'nindonesia']",Positif
"['percaya', 'lewat', 'karna', 'alas', 'hadap', 'ekonomi', 'global', 'bangunoptimisme', 'nindonesia']",Positif
"['negara', 'gantung', 'peran', 'global', 'jokowi', 'optimis', 'hadap', 'tantang', 'bangunoptimisme', 'nindonesia']",Positif
"['optimis', 'ekonomi', 'global', 'kaya', 'sdm', 'sda', 'lewat', 'bangunoptimisme', 'nindonesia']",Positif
"['mari', 'jokowi', 'satu', 'hadap', 'bangunoptimisme', 'nindonesia']",Positif
"['presiden', 'jokowi', 'lewat', 'bayang', 'sda', 'sdm', 'limpah', 'bangunoptimisme', 'nindonesia']",Positif
"['bayang', 'bayang', 'optimis', 'bangunoptimisme', 'nindonesia']",Positif
"['jokowi', 'lewat', 'bayang', 'milik', 'bekal', 'sda', 'limpah', 'ruah', 'bangunoptimisme']",Positif
"['jokowi', 'optimis', 'mengahadapi', 'bayang', 'bangunoptimisme', 'nindonesia']",Negatif
"['ekonomi', 'global', 'hantu', 'dunia', 'jokowi', 'optimis', 'lewat', 'bayang', 'sdm', 'sda', 'limpah', 'ruah', 'bangunoptimisme']",Negatif
"['terjang', 'optimis', 'bangunoptimisme', 'nindonesia']",Positif
"['jokowi', 'cemas', 'sda', 'sdm', 'limpah', 'bangunoptimisme', 'nindonesia']",Negatif
"['indonesi', 'milik', 'bekal', 'sda', 'limpah', 'jokowi', 'mempu', 'lewat', 'bayang', 'bangunoptimisme', 'nindonesia']",Negatif
"['mati', 'ekonomi', 'optimis', 'sdm', 'tangguh', 'sda', 'limpah', 'bangunoptimisme', 'nindonesia']",Positif
"['khawatir', 'dunia', 'bangun', 'optimisme', 'hadap', 'ekonomi', 'global', 'main', 'global', 'sungguh', 'nindonesia', 'bangunoptimisme']",Positif
"['presiden', 'jokowi', 'milik', 'jurus', 'jitu', 'hadap', 'nindonesia', 'bangunoptimisme']",Positif
"['ekonomi', 'global', 'mengantui', 'dunia', 'jokowi', 'optimis', 'lewat', 'bayang', 'sdm', 'sda', 'limpah', 'bangunoptimisme']",Positif
"['hadap', 'global', 'faktor', 'sda', 'sdm', 'bangunoptimisme']",Positif
"['hilir', 'sda', 'henti', 'ekspor', 'bahan', 'mentah', 'jokowi', 'tindak', 'antisipasi', 'issue', 'nindonesia', 'bangunoptimisme']",Positif
"['silih', 'ganti', 'konflik', 'rusia', 'jokowi', 'suara', 'optimis', 'hap', 'situasi', 'tsb', 'bangunoptimisme']",Positif
"['pimpin', 'presiden', 'jokowi', 'ekonomi', 'milik', 'tahan', 'kuat', 'hadap', 'global', 'nindonesia', 'bangunoptimisme']",Positif
"['bosan', 'bosan', 'kali', 'jokowi', 'gaung', 'optimisme', 'hadap', 'situasi', 'global', 'bayang', 'bayang', 'bangunoptimisme']",Positif
"['sumber', 'daya', 'manusia', 'sumber', 'daya', 'alam', 'limpah', 'topang', 'aman', 'global', 'nindonesia', 'bangunoptimisme']",Negatif
"['sumber', 'daya', 'alam', 'limpah', 'potensial', 'optimis', 'aman', 'global', 'nindonesia', 'bangunoptimisme']",Positif
"['presiden', 'jokowi', 'peka', 'peduli', 'kuat', 'anak', 'anak', 'muda', 'potensial', 'bantu', 'topang', 'tahan', 'global', 'nindonesia', 'bangunoptimisme']",Positif
"['jokowi', 'lewat', 'bayang', 'milik', 'bekal', 'sda', 'limpah', 'bangunoptimisme']",Positif
"['dunia', 'sentuh', 'asia', 'tenggara', 'khawatir', 'milik', 'sempat', 'khawatir', 'pesimistis', 'nindonesia', 'bangunoptimisme']",Positif
"['moga', 'hadap', 'ekonomi', 'global', 'nindonesia', 'bangunoptimisme']",Positif
"['letak', 'geografis', 'jalur', 'dagang', 'dunia', 'aman', 'global', 'nindonesia', 'bangunoptimisme']",Negatif
"['lokasi', 'geografis', 'strategis', 'untung', 'ancam', 'global', 'nindonesia', 'bangunoptimisme']",Positif
"['barang', 'mentah', 'perut', 'bumi', 'selamat', 'hindar', 'larang', 'jokowi', 'jual', 'barang', 'mentah', 'nindonesia', 'bangunoptimisme']",Positif
"['bijak', 'hilir', 'nikel', 'stop', 'ekspor', 'bahan', 'mentah', 'bantu', 'lawan', 'bangunoptimisme']",Positif
"['situasi', 'takut', 'negara', 'moga', 'hadap', 'nindonesia', 'bangunoptimisme']",Positif
"['dasar', 'proyeksi', 'world', 'bank', 'ekonomi', 'potensi', 'tumbuh', 'kisar', 'persen', 'milik', 'peluang', 'global', 'nindonesia', 'bangunoptimisme']",Positif
"['sumber', 'daya', 'alam', 'manusia', 'limpah', 'potensi', 'selamat', 'buka', 'lebar', 'nindonesia', 'bangunoptimisme']",Positif
"['pimpin', 'presiden', 'jokowi', 'jatuh', 'jurang', 'global', 'nindonesia', 'bangunoptimisme']",Positif
"['bnyak', 'sda', 'kaya', 'sdm', 'hadap', 'global', 'hantu', 'negara', 'nindonesia', 'bangunoptimisme']",Positif
"['hadap', 'global', 'bangunoptimisme']",Negatif
"['milik', 'modal', 'kuat', 'optimis', 'menghadapo', 'timbang', 'negara', 'gantung', 'contoh', 'ekspor', 'batu', 'bara', 'bangunoptimisme']",Positif
"['ayo', 'hadap', 'global', 'depan', 'bangunoptimisme']",Positif
"['kenal', 'lelah', 'kenal', 'letih', 'jokowi', 'gaung', 'semangat', 'bangunoptimisme', 'hadap', 'dinamika', 'global', 'ramal', 'nindonesia', 'sda', 'sdm', 'limpah', 'ruah', 'manfaat']",Positif
"['sda', 'sdm', 'sumber', 'kuat', 'utama', 'balik', 'kesiap', 'hadap', 'nindonesia', 'bangunoptimisme']",Positif
"['sumber', 'daya', 'alam', 'limpah', 'bonus', 'demografi', 'unggul', 'letak', 'geografis', 'unggul', 'aman', 'global', 'nindonesia', 'bangunoptimisme']",Positif
"['jokowi', 'strategi', 'jitu', 'beliau', 'hadap', 'nindonesia', 'bangunoptimisme']",Negatif
"['takut', 'hadap', 'bawah', 'pimpin', 'jokowi', 'hadap', 'situasi', 'krisis', 'tsb', 'nindonesia', 'bangunoptimisme']",Positif
"['kondisi', 'global', 'tentu', 'jatuh', 'jurang', 'kondisi', 'sumber', 'daya', 'alam', 'sumber', 'daya', 'manusia', 'limpah', 'nindonesia', 'bangunoptimisme']",Positif
"['pimpin', 'presiden', 'jokowi', 'optimis', 'selamat', 'kondisi', 'global', 'tentu', 'nindonesia', 'bangunoptimisme']",Positif
"['aman', 'global', 'pimpin', 'presiden', 'jokowi', 'jual', 'sumber', 'daya', 'alam', 'mentah', 'kelola', 'baik', 'bijak', 'hilir', 'nindonesia', 'bangunoptimisme']",Positif
"['jokowi', 'bela', 'bain', 'pasang', 'badan', 'tekan', 'wto', 'henti', 'ekspor', 'barang', 'mentah', 'jaga', 'jaga', 'kondisi', 'ekonomi', 'global', 'nindonesia', 'bangunoptimisme']",Positif
"['kondisi', 'ekonomi', 'global', 'hantu', 'negara', 'negara', 'dunia', 'bayang', 'kuat', 'presiden', 'jokowi', 'masyarakat', 'optimis', 'hadap', 'situasi']",Negatif
"['kondisi', 'ekonomi', 'global', 'emang', 'mas', 'hantu', 'jokowi', 'ngajarin', 'masyarakat', 'optimis', 'hadap', 'situasi', 'bangunoptimisme']",Positif
"['bahwasannya', 'hadap', 'global', 'optimis', 'bangunoptimisme']",Negatif
"['presiden', 'jokowi', 'masyarakat', 'optimis', 'hadap', 'situasi', 'nindonesia', 'bangunoptimisme']",Positif
"['kuat', 'nindonesia', 'bangunoptimisme']",Positif
"['bayang', 'bayang', 'presiden', 'jokowi', 'optimis', 'sumber', 'daya', 'alam', 'sumber', 'daya', 'manusia', 'limpah', 'bangunoptimisme']",Negatif
"['milik', 'pasar', 'asean', 'juta', 'produk', 'gue', 'gabakal', 'jokowi', 'tang', 'bangunoptimisme']",Positif
"['manfaat', 'momentum', 'tumbuh', 'negara', 'alami', 'nindonesia', 'bangunoptimisme']",Positif
"['salut', 'tengah', 'influencer', 'gencar', 'suara', 'kait', 'panik', 'presiden', 'suara', 'optimisme', 'bangunoptimisme']",Positif
"['bayang', 'bayang', 'emang', 'khawatir', 'bangunoptimisme', 'lewat']",Positif
"['wajib', 'bangunoptimisme', 'yakin', 'hadap', 'bayang', 'bayang', 'sda', 'sdm', 'limpah']",Negatif
"['pangsa', 'pasar', 'kapital', 'modal', 'manfaat', 'puruk', 'global', 'nindonesia', 'bangunoptimisme']",Positif
"['henti', 'ekspor', 'bahan', 'mentah', 'bantu', 'naik', 'ekonomi', 'hadap', 'bayang', 'bangunoptimisme']",Positif
"['alas', 'presiden', 'optimis', 'bayang', 'bayang', 'potensi', 'kuat', 'sumber', 'daya', 'alam', 'manusia', 'limpah', 'nindonesia', 'bangunoptimisme']",Positif
"['alami', 'ekonomi', 'tanah', 'air', 'nindonesia', 'bangunoptimisme']",Positif
"['optimis', 'hadap', 'ekonomi', 'global', 'bayang', 'kuat', 'jokowi', 'damping', 'hadap', 'situasi', 'nindonesia', 'bangunoptimisme']",Positif
"['episentrum', 'global', 'nindonesia', 'bangunoptimisme']",Positif
"['bijak', 'tangan', 'baik', 'atas', 'bangunoptimisme']",Positif
"['isu', 'digembar', 'gembor', 'takut', 'btul', 'jokowi', 'udh', 'sda', 'sdm', 'limpah', 'jni', 'dpt', 'manfaat', 'bangunoptimisme']",Positif
"['bangunoptimisme', 'yakin', 'hadap', 'ancam', 'dunia', 'internasional']",Positif
"['hadap', 'isu', 'takut', 'pimpin', 'negara', 'optimis', 'lewat', 'bangunoptimisme']",Positif
